City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,kupino,54.3663,77.2981,-19.2,99,100,1.71,RU,1675825780
338,namibe,-15.1961,12.1522,20.94,76,96,2.41,AO,1675825780
339,omsukchan,62.5333,155.8,-33.33,94,93,2.12,RU,1675825781
340,bairiki,1.3292,172.9752,30.0,62,20,7.2,KI,1675825781
341,ust-maya,60.4167,134.5333,-32.73,92,100,0.2,RU,1675825782
342,wanning,18.8003,110.3967,25.16,77,28,3.74,CN,1675825782
343,bitung,1.4451,125.1824,23.47,83,100,1.98,ID,1675825783
344,zoniana,35.295,24.8294,3.03,84,100,5.91,GR,1675825783
345,kiama,-34.6833,150.8667,22.22,90,100,2.24,AU,1675825784
346,kigoma,-4.8769,29.6267,22.69,79,98,1.51,TZ,1675825784
347,kasli,55.8909,60.7616,-18.44,97,10,1.88,RU,1675825785
348,ikwiriri,-7.9562,38.9716,22.94,98,100,0.95,TZ,1675825785
349,totskoye,52.5248,52.7623,-21.05,100,38,1.76,RU,1675825786
350,taga,46.95,24.05,-7.82,97,43,0.47,RO,1675825786
351,lukovetskiy,64.2956,41.9211,0.86,98,100,3.95,RU,1675825787
352,temiscaming,46.7212,-79.0971,-0.25,84,97,4.83,CA,1675825787
353,tongliao,43.6125,122.2653,-3.58,31,0,3.95,CN,1675825787
354,kavieng,-2.5744,150.7967,27.77,77,100,3.94,PG,1675825601
355,komsomolskiy,40.4272,71.7189,-0.6,80,99,2.06,UZ,1675825788
356,palu,-0.8917,119.8707,24.93,93,100,0.43,ID,1675825683
357,yuncheng,35.0231,110.9928,7.46,51,100,5.11,CN,1675825788
358,nikolskoye,59.7035,30.7861,-1.06,86,100,4.49,RU,1675825743
359,muisne,0.6,-80.0333,25.0,90,24,2.1,EC,1675825789
360,udachnyy,66.4167,112.4,-39.51,100,97,1.0,RU,1675825658
361,rio grande,-32.035,-52.0986,23.32,72,0,6.89,BR,1675825789
362,natal,-5.795,-35.2094,23.36,83,20,2.06,BR,1675825559
363,saint anthony,45.0205,-93.218,-1.21,81,0,3.09,US,1675825790
364,cortland,42.6001,-76.083,5.42,77,100,1.54,US,1675825728
365,iquique,-20.2208,-70.1431,23.02,81,13,0.52,CL,1675825790
366,seoul,37.5683,126.9778,5.66,40,0,3.6,KR,1675825556
367,mae sai,20.4335,99.8762,25.71,20,5,0.34,TH,1675825791
368,guerrero negro,27.9769,-114.0611,16.88,35,0,3.37,MX,1675825778
369,tshane,-24.0196,21.8684,19.05,85,100,2.27,BW,1675825791
370,sola,-13.8833,167.55,27.85,77,96,6.44,VU,1675825792
371,samarai,-10.6167,150.6667,28.08,76,100,6.63,PG,1675825792
372,charcas,23.1333,-101.1167,16.29,22,39,2.6,MX,1675825793
373,kaeo,-35.1,173.7833,25.74,66,38,3.24,NZ,1675825793
374,zaysan,47.4667,84.8667,-11.62,87,89,0.9,KZ,1675825793
375,ziro,27.6333,93.8333,4.41,95,100,0.77,IN,1675825794
376,araxa,-19.5933,-46.9406,18.35,95,99,1.31,BR,1675825794
377,constitucion,-35.3333,-72.4167,15.51,69,0,4.34,CL,1675825795
378,sao filipe,14.8961,-24.4956,20.13,69,20,4.39,CV,1675825739
379,corrente,-3.7367,-43.3394,21.92,99,100,0.95,BR,1675825795
